,door_state,smoke_state,keypad_state,temperature_state,humidity_state,ldr_state,camera_state,rtc_time_state
467,on,on,auth,increasing,fluctuate,fluctuate,3,night
468,on,on,auth,increasing,fluctuate,fluctuate,4,dawn
469,on,on,auth,increasing,fluctuate,fluctuate,4,day
470,on,on,auth,increasing,fluctuate,fluctuate,4,noon
471,on,on,auth,increasing,fluctuate,fluctuate,4,evening
472,on,on,auth,increasing,fluctuate,fluctuate,4,dusk
473,on,on,auth,increasing,fluctuate,fluctuate,4,night
474,on,on,auth,increasing,fluctuate,fluctuate,5,dawn
475,on,on,auth,increasing,fluctuate,fluctuate,5,day
476,on,on,auth,increasing,fluctuate,fluctuate,5,noon
477,on,on,auth,increasing,fluctuate,fluctuate,5,evening
478,on,on,auth,increasing,fluctuate,fluctuate,5,dusk
479,on,on,auth,increasing,fluctuate,fluctuate,5,night
480,on,on,auth,decreasing,increasing,increasing,1,dawn
481,on,on,auth,decreasing,increasing,increasing,1,day
482,on,on,auth,decreasing,increasing,increasing,1,noon
483,on,on,auth,decreasing,increasing,increasing,1,evening
484,on,on,auth,decreasing,increasing,increasing,1,dusk
485,on,on,auth,decreasing,increasing,increasing,1,night
486,on,on,auth,decreasing,increasing,increasing,2,dawn
487,on,on,auth,decreasing,increasing,increasing,2,day
488,on,on,auth,decreasing,increasing,increasing,2,noon
489,on,on,auth,decreasing,increasing,increasing,2,evening
490,on,on,auth,decreasing,increasing,increasing,2,dusk
491,on,on,auth,decreasing,increasing,increasing,2,night
492,on,on,auth,decreasing,increasing,increasing,3,dawn
493,on,on,auth,decreasing,increasing,increasing,3,day
494,on,on,auth,decreasing,increasing,increasing,3,noon
495,on,on,auth,decreasing,increasing,increasing,3,evening
496,on,on,auth,decreasing,increasing,increasing,3,dusk
497,on,on,auth,decreasing,increasing,increasing,3,night
498,on,on,auth,decreasing,increasing,increasing,4,dawn
499,on,on,auth,decreasing,increasing,increasing,4,day
500,on,on,auth,decreasing,increasing,increasing,4,noon
501,on,on,auth,decreasing,increasing,increasing,4,evening
502,on,on,auth,decreasing,increasing,increasing,4,dusk
503,on,on,auth,decreasing,increasing,increasing,4,night
504,on,on,auth,decreasing,increasing,increasing,5,dawn
505,on,on,auth,decreasing,increasing,increasing,5,day
506,on,on,auth,decreasing,increasing,increasing,5,noon
507,on,on,auth,decreasing,increasing,increasing,5,evening
508,on,on,auth,decreasing,increasing,increasing,5,dusk
509,on,on,auth,decreasing,increasing,increasing,5,night
510,on,on,auth,decreasing,increasing,decreasing,1,dawn
511,on,on,auth,decreasing,increasing,decreasing,1,day
512,on,on,auth,decreasing,increasing,decreasing,1,noon
513,on,on,auth,decreasing,increasing,decreasing,1,evening
